id;nombre;direccion;c_uil;telefono
1;Credit Card Account;Tools Handmade;98890;83714
2;Maine input;compress Kuwait artificial intelligence;34767;35081
3;card Wooden;Bolivar Fuerte Up-sized Savings Account;1346;29612
4;Executive incubate;Keys Usability transmit;41026;16477
5;transmitter;synthesize Specialist;78249;21655
6;bottom-line override Re-engineered;Soft;67730;57514
7;payment digital;metrics;18986;48847
8;Central;indexing;3884;47430
9;dynamic transitional user-facing;purple;50929;92760
10;background;Handcrafted Architect deposit;30292;51531
